	Product Tracker						
							
	Product Name	Brand	Price	Image URL	Store URL	Affiliate Link	Color
1	The Lifestyle Co. Men Light Fade Stretchable Slim Fit Jeans	Roadster	671	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26084690/2024/8/24/c7b91ca5-fb2b-41a9-93dc-661c2c8c093b1724478024190-Roadster-Men-Jeans-7441724478023708-1.jpg	https://www.myntra.com/jeans/roadster/the-roadster-lifestyle-co-men--light-fade-stretchable-slim-fit-jeans/26084690/buy		blue
2	Men Slash Slim Tapered Fit Heavy Fade Stretchable Jeans	Flying Machine	1363	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/AUGUST/12/YlzGJpeZ_e9dd919388734c09bf7ab13eefaacb24.jpg	https://www.myntra.com/jeans/flying+machine/flying-machine-men-slash-slim-tapered-fit-heavy-fade-stretchable-jeans/36008709/buy		blue
3	Men Slim Fit Mid-Rise Light Fade Jeans	Flying Machine	1172	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/JANUARY/13/cZ7LX3k4_21baf1f09fd9402388ef4a4c8c283a1c.jpg	https://www.myntra.com/jeans/flying+machine/flying-machine-men-slim-fit-mid-rise-light-fade-jeans/34856544/buy		blue
4	The Life Co. Men Slim Fit Light Fade Stretchable Jeans	Roadster	659	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22578378/2023/4/28/4c387e44-7980-49ae-b4e9-798fea859d301682664416675-Roadster-Men-Jeans-7031682664416175-2.jpg	https://www.myntra.com/jeans/roadster/the-roadster-life-co-men-slim-fit-light-fade-stretchable-jeans/22578378/buy		black
5	Men Comfort Straight Fit Mid-Rise Light Fade Stretchable Jeans	BREXX	599	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2026/MAY/8/mVZRgzoc_3fe763eacd4b42588495233b3d8970f9.jpg	https://www.myntra.com/jeans/brexx/brexx-men-comfort-straight-fit-mid-rise-light-fade-stretchable-jeans/41949335/buy		gray
6	Charcoal Raw Wash Baggy Fit Jeans	Offduty India	16920	http://offduty.in/cdn/shop/files/0335268A-9EBE-4772-B4E0-EFEDCEB324E9.png?v=1778486972	https://offduty.in/products/charcoal-raw-wash-baggy-fit-jeans?variant=40365640515681&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&glid=Cj0KCQjwrs7RBhDuARIsAIVfBD1WVus0FoqRaISc-3wQ7znIVFoYYZhbwso1rjLD1H8uKIG_khXOHd0aAp9dEALw_wcB&utm_source=google_ads&utm_medium=cpc&utm_campaignADB_PMax_Men_Denim_Generic_18042026=		gray
7	Classic Loose Straight Fit Jeans		1790	http://offduty.in/cdn/shop/files/Manfinity_UrbanChill_Jeans_Pour_Hommes__Jambe_Droite_Ample_Et_Coupe_Vintage__Mode_en_ligne__SHEIN_FRANCE_main_0.jpg?v=1759579258	https://offduty.in/products/classic-loose-straight-fit-jeans?variant=41798574866529		Pale Blue
8	Nude Baggy Fit Straight Leg Jeans		1690	http://offduty.in/cdn/shop/files/nude4_d64c6594-3ecf-41f0-af7e-fd95e2f1632a.jpg?v=1733305526	https://offduty.in/products/nude-baggy-fit-straight-leg-jeans?variant=40951114596449		blue
9	Pure Black Baggy Fit Rigid Jeans		1490	http://offduty.in/cdn/shop/files/IMG-20260513-WA0049.jpg?v=1779104952	https://offduty.in/products/pure-black-baggy-fit-rigid-jeans?variant=40327040073825		blue
10	Pure Black Baggy Fit Rigid Jeans		1690	http://offduty.in/cdn/shop/files/IMG-20260513-WA0049.jpg?v=1779104952	https://offduty.in/products/pure-black-baggy-fit-rigid-jeans?variant=40327040073825		black