																	
	Product Tracker																
																	
	Product Name	Brand	Price	Image URL	Store URL	Affiliate Link	Color										
1	VEIRDO Beige Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/AUGUST/27/PlWRP3w4_0fc8ff8cacfb4d8f90548a88b4b0ff9a.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-beige-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761834/buy		Beige										
2	White Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/RyfxWy1l_22a89648c3e94d14a753d62fb5b4a50b.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-white-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761846/buy		White 										
3	Maroon Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/FuUSWMla_27962312c2ac416a94e813ecd9883c78.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-maroon-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761858/buy		maroon										
4	Men Black Solid Round Neck Relaxed Fit Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27761860/2025/6/26/998924a9-a678-4b0d-8226-1b36e34ad3bf1750934357230-VEIRDO-Black-Drop-Shoulder-Sleeves-Pure-Cotton-Oversized-T-s-1.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-men-black-solid-round-neck-relaxed-fit-pure-cotton-oversized-t-shirt/27761860/buy		Black										
5	Mustard Yellow Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/SM6CUNby_e0dfb8da77694cfbb4840ca587a6423c.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-mustard-yellow-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761868/buy		mustard 				VEIRDO Beige Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO	Rs 399.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/AUGUST/27/PlWRP3w4_0fc8ff8cacfb4d8f90548a88b4b0ff9a.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-beige-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761834/buy		Beige
6	Navy Blue Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27761878/2025/4/11/cca0f294-6065-4794-8db5-9d48e89c55811744371847731-VEIRDO-Navy-Blue-Drop-Shoulder-Sleeves-Pure-Cotton-Oversized-1.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-navy-blue-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761878/buy		nevy Blue 				White Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/RyfxWy1l_22a89648c3e94d14a753d62fb5b4a50b.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-white-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761846/buy		White
7	Brown Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/LayPcREq_a8975a4c7b444f2faad5743b1babc1c3.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-brown-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761882/buy		brown 				Maroon Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/FuUSWMla_27962312c2ac416a94e813ecd9883c78.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-maroon-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761858/buy		maroon
8	Red Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27761890/2025/6/26/2c906ad0-5ea2-44e1-bc47-bf67be7734301750934377379-VEIRDO-Red-Drop-Shoulder-Sleeves-Pure-Cotton-Oversized-T-shi-1.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-red-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761890/buy		red				Men Black Solid Round Neck Relaxed Fit Pure Cotton Oversized T-shirt	VEIRDO	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27761860/2025/6/26/998924a9-a678-4b0d-8226-1b36e34ad3bf1750934357230-VEIRDO-Black-Drop-Shoulder-Sleeves-Pure-Cotton-Oversized-T-s-1.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-men-black-solid-round-neck-relaxed-fit-pure-cotton-oversized-t-shirt/27761860/buy		Black
9	Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27873280/2025/4/11/b9a99125-724c-48c6-9ba5-7cc32f413de61744371884539-VEIRDO-Drop-Shoulder-Sleeves-Pure-Cotton-Oversized-T-shirt-8-1.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27873280/buy		peach				Mustard Yellow Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/SM6CUNby_e0dfb8da77694cfbb4840ca587a6423c.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-mustard-yellow-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761868/buy		mustard
10	Men Solid Round Neck Cotton Oversized T-shirt	VEIRDO 	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/MARCH/26/VExk5qzW_8fe50d916328410e8c4a4eb7f4e28074.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-men-solid-round-neck-cotton-oversized-t-shirt/33354077/buy		Green				Navy Blue Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27761878/2025/4/11/cca0f294-6065-4794-8db5-9d48e89c55811744371847731-VEIRDO-Navy-Blue-Drop-Shoulder-Sleeves-Pure-Cotton-Oversized-1.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-navy-blue-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761878/buy		nevy Blue
11	Oversized Stretch T-Shirt	snitch	Rs 1,399.00	https://d2wbq7o4qxi60y.cloudfront.net/8915802390690/1-800.webp	https://www.snitch.com/men-t-shirts/stretch-oversized-t-shirt-4mst3050-03/8915802390690/buy		Beige				Brown Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/AUGUST/27/LayPcREq_a8975a4c7b444f2faad5743b1babc1c3.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-brown-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761882/buy		brown
12	Oversized Stretch T-Shirt	snitch	Rs 1,199.00	https://d2wbq7o4qxi60y.cloudfront.net/8879284682914/1-800.webp	https://www.snitch.com/men-t-shirts/stretch-oversized-t-shirt-4mst3050-03/8879284682914/buy		Blue				Red Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27761890/2025/6/26/2c906ad0-5ea2-44e1-bc47-bf67be7734301750934377379-VEIRDO-Red-Drop-Shoulder-Sleeves-Pure-Cotton-Oversized-T-shi-1.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-red-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27761890/buy		red
13	Oversized Stretch T-Shirt	snitch	Rs 1,247.00	https://d2wbq7o4qxi60y.cloudfront.net/8882046402722/1-800.webp	https://www.snitch.com/men-t-shirts/stretch-oversized-t-shirt-4mst3050-05/8882046402722/buy		Black				Drop-Shoulder Sleeves Pure Cotton Oversized T-shirt	VEIRDO	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/27873280/2025/4/11/b9a99125-724c-48c6-9ba5-7cc32f413de61744371884539-VEIRDO-Drop-Shoulder-Sleeves-Pure-Cotton-Oversized-T-shirt-8-1.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27873280/buy		peach
14	Men Oversized Demon Slayer Beige Tshirts	The Souled Store	Rs 1,499.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JUNE/23/yfBW6yp4_b47601a4d97d4d539edc1e36d36f5624.jpg	https://www.myntra.com/tshirts/the+souled+store/the-souled-store-men-oversized-demon-slayer-beige-tshirts/35130875/buy		Beige				Men Solid Round Neck Cotton Oversized T-shirt	VEIRDO	Rs 399.00	https://assets.myntassets.com/f_auto,h_150,q_auto:best,w_112/assets/images/2025/MARCH/26/VExk5qzW_8fe50d916328410e8c4a4eb7f4e28074.jpg	https://www.myntra.com/tshirts/veirdo/veirdo-men-solid-round-neck-cotton-oversized-t-shirt/33354077/buy		Green
	Men Oversized Demon Slayer Green Tshirts	The Souled Store	Rs 1,199.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JULY/24/sILW5EFV_4eb32f90076a4f8b8eef30caaa86d3ed.jpg	https://www.myntra.com/tshirts/the+souled+store/the-souled-store-men-oversized-demon-slayer-green-tshirts/35932317/buy		Green				Oversized Stretch T-Shirt	snitch	Rs 1,399.00	https://d2wbq7o4qxi60y.cloudfront.net/8915802390690/1-800.webp	https://www.snitch.com/men-t-shirts/stretch-oversized-t-shirt-4mst3050-03/8915802390690/buy		Beige
	Train All Day Men Breathable Training Tee	Puma	Rs 899.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JULY/16/n2YzIePv_22bf766e458247a2961e888f98509b43.jpg	https://www.myntra.com/tshirts/puma/puma-train-all-day-men-breathable-training-tee/35720666/buy		Green				Oversized Stretch T-Shirt	snitch	Rs 1,199.00	https://d2wbq7o4qxi60y.cloudfront.net/8879284682914/1-800.webp	https://www.snitch.com/men-t-shirts/stretch-oversized-t-shirt-4mst3050-03/8879284682914/buy		Blue
	Train All Day Men Breathable Training Tee	Puma	Rs 899.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/35720668/2025/7/29/9195d851-5bc8-4868-aa84-5fb9e98150fc1753794067116-Puma-Train-All-Day-Mens-Breathable-Training-Tee-490175379406-1.jpg	https://www.myntra.com/tshirts/puma/puma-train-all-day-men-breathable-training-tee/35720668/buy		Black				Oversized Stretch T-Shirt	snitch	Rs 1,247.00	https://d2wbq7o4qxi60y.cloudfront.net/8882046402722/1-800.webp	https://www.snitch.com/men-t-shirts/stretch-oversized-t-shirt-4mst3050-05/8882046402722/buy		Black
											Men Oversized Demon Slayer Beige Tshirts	The Souled Store	Rs 1,499.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JUNE/23/yfBW6yp4_b47601a4d97d4d539edc1e36d36f5624.jpg	https://www.myntra.com/tshirts/the+souled+store/the-souled-store-men-oversized-demon-slayer-beige-tshirts/35130875/buy		Beige
											Men Oversized Demon Slayer Green Tshirts	The Souled Store	Rs 1,199.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JULY/24/sILW5EFV_4eb32f90076a4f8b8eef30caaa86d3ed.jpg	https://www.myntra.com/tshirts/the+souled+store/the-souled-store-men-oversized-demon-slayer-green-tshirts/35932317/buy		Green
											Train All Day Men Breathable Training Tee	Puma	Rs 899.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JULY/16/n2YzIePv_22bf766e458247a2961e888f98509b43.jpg	https://www.myntra.com/tshirts/puma/puma-train-all-day-men-breathable-training-tee/35720666/buy		Green
											Train All Day Men Breathable Training Tee	Puma	Rs 899.00	https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/35720668/2025/7/29/9195d851-5bc8-4868-aa84-5fb9e98150fc1753794067116-Puma-Train-All-Day-Mens-Breathable-Training-Tee-490175379406-1.jpg	https://www.myntra.com/tshirts/puma/puma-train-all-day-men-breathable-training-tee/35720668/buy		Black